# official checkpoint: /local/554122/ckpt/opv2v_zoo/cobevt_lidar_opv2v_nocomp/net_epoch19.pth
# 222 tensors, 10559319 parameters

pillar_vfe.pfn_layers.0.linear.weight	[64, 10]
pillar_vfe.pfn_layers.0.norm.weight	[64]
pillar_vfe.pfn_layers.0.norm.bias	[64]
pillar_vfe.pfn_layers.0.norm.running_mean	[64]
pillar_vfe.pfn_layers.0.norm.running_var	[64]
pillar_vfe.pfn_layers.0.norm.num_batches_tracked	[]
backbone.blocks.0.1.weight	[64, 64, 3, 3]
backbone.blocks.0.2.weight	[64]
backbone.blocks.0.2.bias	[64]
backbone.blocks.0.2.running_mean	[64]
backbone.blocks.0.2.running_var	[64]
backbone.blocks.0.2.num_batches_tracked	[]
backbone.blocks.0.4.weight	[64, 64, 3, 3]
backbone.blocks.0.5.weight	[64]
backbone.blocks.0.5.bias	[64]
backbone.blocks.0.5.running_mean	[64]
backbone.blocks.0.5.running_var	[64]
backbone.blocks.0.5.num_batches_tracked	[]
backbone.blocks.0.7.weight	[64, 64, 3, 3]
backbone.blocks.0.8.weight	[64]
backbone.blocks.0.8.bias	[64]
backbone.blocks.0.8.running_mean	[64]
backbone.blocks.0.8.running_var	[64]
backbone.blocks.0.8.num_batches_tracked	[]
backbone.blocks.0.10.weight	[64, 64, 3, 3]
backbone.blocks.0.11.weight	[64]
backbone.blocks.0.11.bias	[64]
backbone.blocks.0.11.running_mean	[64]
backbone.blocks.0.11.running_var	[64]
backbone.blocks.0.11.num_batches_tracked	[]
backbone.blocks.1.1.weight	[128, 64, 3, 3]
backbone.blocks.1.2.weight	[128]
backbone.blocks.1.2.bias	[128]
backbone.blocks.1.2.running_mean	[128]
backbone.blocks.1.2.running_var	[128]
backbone.blocks.1.2.num_batches_tracked	[]
backbone.blocks.1.4.weight	[128, 128, 3, 3]
backbone.blocks.1.5.weight	[128]
backbone.blocks.1.5.bias	[128]
backbone.blocks.1.5.running_mean	[128]
backbone.blocks.1.5.running_var	[128]
backbone.blocks.1.5.num_batches_tracked	[]
backbone.blocks.1.7.weight	[128, 128, 3, 3]
backbone.blocks.1.8.weight	[128]
backbone.blocks.1.8.bias	[128]
backbone.blocks.1.8.running_mean	[128]
backbone.blocks.1.8.running_var	[128]
backbone.blocks.1.8.num_batches_tracked	[]
backbone.blocks.1.10.weight	[128, 128, 3, 3]
backbone.blocks.1.11.weight	[128]
backbone.blocks.1.11.bias	[128]
backbone.blocks.1.11.running_mean	[128]
backbone.blocks.1.11.running_var	[128]
backbone.blocks.1.11.num_batches_tracked	[]
backbone.blocks.1.13.weight	[128, 128, 3, 3]
backbone.blocks.1.14.weight	[128]
backbone.blocks.1.14.bias	[128]
backbone.blocks.1.14.running_mean	[128]
backbone.blocks.1.14.running_var	[128]
backbone.blocks.1.14.num_batches_tracked	[]
backbone.blocks.1.16.weight	[128, 128, 3, 3]
backbone.blocks.1.17.weight	[128]
backbone.blocks.1.17.bias	[128]
backbone.blocks.1.17.running_mean	[128]
backbone.blocks.1.17.running_var	[128]
backbone.blocks.1.17.num_batches_tracked	[]
backbone.blocks.2.1.weight	[256, 128, 3, 3]
backbone.blocks.2.2.weight	[256]
backbone.blocks.2.2.bias	[256]
backbone.blocks.2.2.running_mean	[256]
backbone.blocks.2.2.running_var	[256]
backbone.blocks.2.2.num_batches_tracked	[]
backbone.blocks.2.4.weight	[256, 256, 3, 3]
backbone.blocks.2.5.weight	[256]
backbone.blocks.2.5.bias	[256]
backbone.blocks.2.5.running_mean	[256]
backbone.blocks.2.5.running_var	[256]
backbone.blocks.2.5.num_batches_tracked	[]
backbone.blocks.2.7.weight	[256, 256, 3, 3]
backbone.blocks.2.8.weight	[256]
backbone.blocks.2.8.bias	[256]
backbone.blocks.2.8.running_mean	[256]
backbone.blocks.2.8.running_var	[256]
backbone.blocks.2.8.num_batches_tracked	[]
backbone.blocks.2.10.weight	[256, 256, 3, 3]
backbone.blocks.2.11.weight	[256]
backbone.blocks.2.11.bias	[256]
backbone.blocks.2.11.running_mean	[256]
backbone.blocks.2.11.running_var	[256]
backbone.blocks.2.11.num_batches_tracked	[]
backbone.blocks.2.13.weight	[256, 256, 3, 3]
